lineId,partId,role,method
doc:ecb2f645ebd38373fb24f86e:line:1,part:c981cfbb49c3f4b643e5,base,auto
doc:ecb2f645ebd38373fb24f86e:line:2,part:a818670b29ad1113d8a4,base,auto
doc:ecb2f645ebd38373fb24f86e:line:2,part:8726e619b10ed9a1b63c,new,auto
doc:ecb2f645ebd38373fb24f86e:line:2,part:a818670b29ad1113d8a4,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:3,part:e9f84726b4198cd9096b,base,auto
doc:ecb2f645ebd38373fb24f86e:line:3,part:aa81a21889579b265010,new,auto
doc:ecb2f645ebd38373fb24f86e:line:3,part:e9f84726b4198cd9096b,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:4,part:ef9b98ed9fa20dec6b77,base,auto
doc:ecb2f645ebd38373fb24f86e:line:4,part:751afb90ed9b3d2ed82b,new,auto
doc:ecb2f645ebd38373fb24f86e:line:4,part:ef9b98ed9fa20dec6b77,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:5,part:1ab74db61bb6c617bd9b,base,auto
doc:ecb2f645ebd38373fb24f86e:line:5,part:d9b7afd6449a87494ab3,new,auto
doc:ecb2f645ebd38373fb24f86e:line:5,part:1ab74db61bb6c617bd9b,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:6,part:f92817eede4aadab5296,base,auto
doc:ecb2f645ebd38373fb24f86e:line:6,part:f92817eede4aadab5296,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:7,part:b66062c9ca969141916a,base,auto
doc:ecb2f645ebd38373fb24f86e:line:7,part:b66062c9ca969141916a,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:8,part:23a013243e951a1edade,base,auto
doc:ecb2f645ebd38373fb24f86e:line:8,part:2808b87616c8a79cebd3,new,auto
doc:ecb2f645ebd38373fb24f86e:line:8,part:23a013243e951a1edade,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:9,part:23a8ac3d558398a731c9,base,auto
doc:ecb2f645ebd38373fb24f86e:line:9,part:1d61215be01b2b95a37d,new,auto
doc:ecb2f645ebd38373fb24f86e:line:9,part:23a8ac3d558398a731c9,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:10,part:d7f57dea58b457ea791a,base,auto
doc:ecb2f645ebd38373fb24f86e:line:10,part:42b6ccfa85fef8d21934,new,auto
doc:ecb2f645ebd38373fb24f86e:line:10,part:d7f57dea58b457ea791a,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:11,part:e095046f118f077b94e1,base,auto
doc:ecb2f645ebd38373fb24f86e:line:11,part:763f4dc8a2f9051dfd9c,new,auto
doc:ecb2f645ebd38373fb24f86e:line:11,part:e095046f118f077b94e1,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:12,part:65c343c0cfe739c18499,base,auto
doc:ecb2f645ebd38373fb24f86e:line:12,part:65c343c0cfe739c18499,effective,auto
doc:ecb2f645ebd38373fb24f86e:line:13,part:13416ceb1691e37eb9bb,base,auto
doc:ecb2f645ebd38373fb24f86e:line:13,part:13416ceb1691e37eb9bb,effective,auto
