changeId,lineId,directPartId,directPartRole,basePartId,newPartId
doc:6de91b0d15d03891902b8395:line:5.0:change,doc:6de91b0d15d03891902b8395:line:5.0,part:a6303a49483c1564f02d,new,,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:9.0:change,doc:6de91b0d15d03891902b8395:line:9.0,part:8e44018ec0995e56d37f,new,part:c2ce11dc1a36a9f5c738,part:8e44018ec0995e56d37f
doc:6de91b0d15d03891902b8395:line:10.0:change,doc:6de91b0d15d03891902b8395:line:10.0,part:59cec19099f3a5bc8db5,new,part:3fdfe03b2e4275c7ad55,part:59cec19099f3a5bc8db5
doc:6de91b0d15d03891902b8395:line:11.0:change,doc:6de91b0d15d03891902b8395:line:11.0,part:b2e36b1900192d51c6ad,new,part:9395379f091937040584,part:b2e36b1900192d51c6ad
doc:6de91b0d15d03891902b8395:line:12.0:change,doc:6de91b0d15d03891902b8395:line:12.0,part:a6303a49483c1564f02d,new,part:4fb5a7e2023a2e20c6f1,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:15.0:change,doc:6de91b0d15d03891902b8395:line:15.0,part:a6303a49483c1564f02d,new,part:9cc86c768949274440be,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:17.0:change,doc:6de91b0d15d03891902b8395:line:17.0,part:a6303a49483c1564f02d,new,part:6134c943c596d184ec87,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:19.0:change,doc:6de91b0d15d03891902b8395:line:19.0,part:a6303a49483c1564f02d,new,part:fd599dceb2fbb6eafac4,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:20.0:change,doc:6de91b0d15d03891902b8395:line:20.0,part:a6303a49483c1564f02d,new,part:fd599dceb2fbb6eafac4,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:23.0:change,doc:6de91b0d15d03891902b8395:line:23.0,part:a6303a49483c1564f02d,new,part:aaa303f88580215ef9af,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:24.0:change,doc:6de91b0d15d03891902b8395:line:24.0,part:a6303a49483c1564f02d,new,part:8c9188caf923a68459c1,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:25.0:change,doc:6de91b0d15d03891902b8395:line:25.0,part:a6303a49483c1564f02d,new,,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:26.0:change,doc:6de91b0d15d03891902b8395:line:26.0,part:a6303a49483c1564f02d,new,part:fd3754c69723c2d6902b,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:27.0:change,doc:6de91b0d15d03891902b8395:line:27.0,part:a6303a49483c1564f02d,new,part:dba3b4380d58197c674b,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:28.0:change,doc:6de91b0d15d03891902b8395:line:28.0,part:a6303a49483c1564f02d,new,part:609761a88a41219dd3e4,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:29.0:change,doc:6de91b0d15d03891902b8395:line:29.0,part:a6303a49483c1564f02d,new,,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:30.0:change,doc:6de91b0d15d03891902b8395:line:30.0,part:a6303a49483c1564f02d,new,,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:31.0:change,doc:6de91b0d15d03891902b8395:line:31.0,part:a6303a49483c1564f02d,new,,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:32.0:change,doc:6de91b0d15d03891902b8395:line:32.0,part:a6303a49483c1564f02d,new,part:f3e3b9a4481ba9b43a79,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:33.0:change,doc:6de91b0d15d03891902b8395:line:33.0,part:8e44018ec0995e56d37f,new,part:e1351372bbc614583897,part:8e44018ec0995e56d37f
doc:6de91b0d15d03891902b8395:line:34.0:change,doc:6de91b0d15d03891902b8395:line:34.0,part:59cec19099f3a5bc8db5,new,part:ea742fe96566fd42f1ca,part:59cec19099f3a5bc8db5
doc:6de91b0d15d03891902b8395:line:35.0:change,doc:6de91b0d15d03891902b8395:line:35.0,part:a6303a49483c1564f02d,new,part:323b42ae8f4c68350c01,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:36.0:change,doc:6de91b0d15d03891902b8395:line:36.0,part:a6303a49483c1564f02d,new,part:39f476efdedaf4b5f1df,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:37.0:change,doc:6de91b0d15d03891902b8395:line:37.0,part:a6303a49483c1564f02d,new,part:8e176e6446115d8f7477,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:38.0:change,doc:6de91b0d15d03891902b8395:line:38.0,part:a6303a49483c1564f02d,new,part:8e61fc808c2e550cb988,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:39.0:change,doc:6de91b0d15d03891902b8395:line:39.0,part:8e44018ec0995e56d37f,new,part:a53d421af9270fe2edc4,part:8e44018ec0995e56d37f
doc:6de91b0d15d03891902b8395:line:40.0:change,doc:6de91b0d15d03891902b8395:line:40.0,part:59cec19099f3a5bc8db5,new,part:a53d421af9270fe2edc4,part:59cec19099f3a5bc8db5
doc:6de91b0d15d03891902b8395:line:41.0:change,doc:6de91b0d15d03891902b8395:line:41.0,part:8e44018ec0995e56d37f,new,part:aeba975636927fafd151,part:8e44018ec0995e56d37f
doc:6de91b0d15d03891902b8395:line:42.0:change,doc:6de91b0d15d03891902b8395:line:42.0,part:59cec19099f3a5bc8db5,new,part:be76d7a8cbc2e53d7503,part:59cec19099f3a5bc8db5
doc:6de91b0d15d03891902b8395:line:43.0:change,doc:6de91b0d15d03891902b8395:line:43.0,part:8e44018ec0995e56d37f,new,part:0e9f0e98e0dd8e30ea5e,part:8e44018ec0995e56d37f
doc:6de91b0d15d03891902b8395:line:44.0:change,doc:6de91b0d15d03891902b8395:line:44.0,part:59cec19099f3a5bc8db5,new,part:05aeeb0cae78bfe41725,part:59cec19099f3a5bc8db5
doc:6de91b0d15d03891902b8395:line:45.0:change,doc:6de91b0d15d03891902b8395:line:45.0,part:a6303a49483c1564f02d,new,part:e5055fc728a99cf6ff42,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:46.0:change,doc:6de91b0d15d03891902b8395:line:46.0,part:a6303a49483c1564f02d,new,,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:47.0:change,doc:6de91b0d15d03891902b8395:line:47.0,part:8e44018ec0995e56d37f,new,part:24c8fe60cf03988400f4,part:8e44018ec0995e56d37f
doc:6de91b0d15d03891902b8395:line:48.0:change,doc:6de91b0d15d03891902b8395:line:48.0,part:59cec19099f3a5bc8db5,new,part:2288e3c020d12481a78a,part:59cec19099f3a5bc8db5
doc:6de91b0d15d03891902b8395:line:50.0:change,doc:6de91b0d15d03891902b8395:line:50.0,part:a6303a49483c1564f02d,new,part:afaea641c65e528f6cc9,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:51.0:change,doc:6de91b0d15d03891902b8395:line:51.0,part:a6303a49483c1564f02d,new,part:7554f390080bad7742a4,part:a6303a49483c1564f02d
doc:6de91b0d15d03891902b8395:line:52.0:change,doc:6de91b0d15d03891902b8395:line:52.0,part:8e44018ec0995e56d37f,new,part:108d6cc869c10a11a32c,part:8e44018ec0995e56d37f
