changeId,caseId,lineId,classification,basePartNoRaw,newPartNoRaw,effectivePartNo,changingPoint,changingReason,searchText
doc:6de91b0d15d03891902b8395:line:5.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:5.0,New,-,TBD,TBD,Broil Buerner Bracket 추가,품질 개선_Broil Heater 고정 구조,New | - | TBD | TBD | Bracket | Broil Buerner Bracket 추가 | 품질 개선_Broil Heater 고정 구조
doc:6de91b0d15d03891902b8395:line:9.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:9.0,New,AEH76188601,TBD_1,TBD_1,"피벗포인트 변경, 장력 변경",북미 규격_Door 구조 변경,"New | AEH76188601 | TBD_1 | TBD_1 | Hinge Assembly | 피벗포인트 변경, 장력 변경 | 북미 규격_Door 구조 변경"
doc:6de91b0d15d03891902b8395:line:10.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:10.0,New,AEH76188602,TBD_2,TBD_2,"피벗포인트 변경, 장력 변경",북미 규격_Door 구조 변경,"New | AEH76188602 | TBD_2 | TBD_2 | Hinge Assembly | 피벗포인트 변경, 장력 변경 | 북미 규격_Door 구조 변경"
doc:6de91b0d15d03891902b8395:line:11.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:11.0,New,AEH76188603,TBD_3,TBD_3,"피벗포인트 변경, 장력 변경",북미 규격_Door 구조 변경,"New | AEH76188603 | TBD_3 | TBD_3 | Hinge Assembly | 피벗포인트 변경, 장력 변경 | 북미 규격_Door 구조 변경"
doc:6de91b0d15d03891902b8395:line:12.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:12.0,New,EAD63668408,TBD,TBD,파워코드 신규 개발 (Conduit Type),북미 규격_북미 정격 반영,New | EAD63668408 | TBD | TBD | Power Cord Assembly | 파워코드 신규 개발 (Conduit Type) | 북미 규격_북미 정격 반영
doc:6de91b0d15d03891902b8395:line:15.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:15.0,New,ACQ30521201,TBD,TBD,Assembly 구성,Assembly 구성,"New | ACQ30521201 | TBD | TBD | Cover Assembly,Rear | Assembly 구성 | Assembly 구성"
doc:6de91b0d15d03891902b8395:line:17.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:17.0,New,AHA76486201,TBD,TBD,Assembly 구성,Assembly 구성,New | AHA76486201 | TBD | TBD | Pump Assembly | Assembly 구성 | Assembly 구성
doc:6de91b0d15d03891902b8395:line:19.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:19.0,New,MJU65727804,TBD,TBD,Check Valve 타입 구조 적용,품질 개선_Check Valve 구조 반영,New | MJU65727804 | TBD | TBD | Tube | Check Valve 타입 구조 적용 | 품질 개선_Check Valve 구조 반영
doc:6de91b0d15d03891902b8395:line:20.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:20.0,New,MJU65727804,TBD,TBD,Check Valve 타입 구조 적용,품질 개선_Check Valve 구조 반영,New | MJU65727804 | TBD | TBD | Tube | Check Valve 타입 구조 적용 | 품질 개선_Check Valve 구조 반영
doc:6de91b0d15d03891902b8395:line:23.0:change,case:eb74e0da1633bb516748098c,doc:6de91b0d15d03891902b8395:line:23.0,New,AEN75461001,TBD,TBD,Check Valve 타입 구조 적용,품질 개선_Check Valve 구조 반영,"New | AEN75461001 | TBD | TBD | Housing Assembly,Water | Check Valve 타입 구조 적용 | 품질 개선_Check Valve 구조 반영"
