changeId,impactedLineId,distance,impactType
doc:6de91b0d15d03891902b8395:line:5.0:change,doc:6de91b0d15d03891902b8395:line:5.0,0,direct
doc:6de91b0d15d03891902b8395:line:5.0:change,doc:6de91b0d15d03891902b8395:line:2.0,1,parent
doc:6de91b0d15d03891902b8395:line:5.0:change,doc:6de91b0d15d03891902b8395:line:1.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:9.0:change,doc:6de91b0d15d03891902b8395:line:9.0,0,direct
doc:6de91b0d15d03891902b8395:line:10.0:change,doc:6de91b0d15d03891902b8395:line:10.0,0,direct
doc:6de91b0d15d03891902b8395:line:11.0:change,doc:6de91b0d15d03891902b8395:line:11.0,0,direct
doc:6de91b0d15d03891902b8395:line:12.0:change,doc:6de91b0d15d03891902b8395:line:12.0,0,direct
doc:6de91b0d15d03891902b8395:line:12.0:change,doc:6de91b0d15d03891902b8395:line:11.0,1,parent
doc:6de91b0d15d03891902b8395:line:15.0:change,doc:6de91b0d15d03891902b8395:line:15.0,0,direct
doc:6de91b0d15d03891902b8395:line:17.0:change,doc:6de91b0d15d03891902b8395:line:17.0,0,direct
doc:6de91b0d15d03891902b8395:line:17.0:change,doc:6de91b0d15d03891902b8395:line:15.0,1,parent
doc:6de91b0d15d03891902b8395:line:19.0:change,doc:6de91b0d15d03891902b8395:line:19.0,0,direct
doc:6de91b0d15d03891902b8395:line:19.0:change,doc:6de91b0d15d03891902b8395:line:18.0,1,parent
doc:6de91b0d15d03891902b8395:line:19.0:change,doc:6de91b0d15d03891902b8395:line:17.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:19.0:change,doc:6de91b0d15d03891902b8395:line:15.0,3,ancestor
doc:6de91b0d15d03891902b8395:line:20.0:change,doc:6de91b0d15d03891902b8395:line:20.0,0,direct
doc:6de91b0d15d03891902b8395:line:20.0:change,doc:6de91b0d15d03891902b8395:line:18.0,1,parent
doc:6de91b0d15d03891902b8395:line:20.0:change,doc:6de91b0d15d03891902b8395:line:17.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:20.0:change,doc:6de91b0d15d03891902b8395:line:15.0,3,ancestor
doc:6de91b0d15d03891902b8395:line:23.0:change,doc:6de91b0d15d03891902b8395:line:23.0,0,direct
doc:6de91b0d15d03891902b8395:line:23.0:change,doc:6de91b0d15d03891902b8395:line:15.0,1,parent
doc:6de91b0d15d03891902b8395:line:24.0:change,doc:6de91b0d15d03891902b8395:line:24.0,0,direct
doc:6de91b0d15d03891902b8395:line:24.0:change,doc:6de91b0d15d03891902b8395:line:23.0,1,parent
doc:6de91b0d15d03891902b8395:line:24.0:change,doc:6de91b0d15d03891902b8395:line:15.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:25.0:change,doc:6de91b0d15d03891902b8395:line:25.0,0,direct
doc:6de91b0d15d03891902b8395:line:25.0:change,doc:6de91b0d15d03891902b8395:line:23.0,1,parent
doc:6de91b0d15d03891902b8395:line:25.0:change,doc:6de91b0d15d03891902b8395:line:15.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:26.0:change,doc:6de91b0d15d03891902b8395:line:26.0,0,direct
doc:6de91b0d15d03891902b8395:line:27.0:change,doc:6de91b0d15d03891902b8395:line:27.0,0,direct
doc:6de91b0d15d03891902b8395:line:27.0:change,doc:6de91b0d15d03891902b8395:line:26.0,1,parent
doc:6de91b0d15d03891902b8395:line:28.0:change,doc:6de91b0d15d03891902b8395:line:28.0,0,direct
doc:6de91b0d15d03891902b8395:line:28.0:change,doc:6de91b0d15d03891902b8395:line:26.0,1,parent
doc:6de91b0d15d03891902b8395:line:29.0:change,doc:6de91b0d15d03891902b8395:line:29.0,0,direct
doc:6de91b0d15d03891902b8395:line:29.0:change,doc:6de91b0d15d03891902b8395:line:26.0,1,parent
doc:6de91b0d15d03891902b8395:line:30.0:change,doc:6de91b0d15d03891902b8395:line:30.0,0,direct
doc:6de91b0d15d03891902b8395:line:30.0:change,doc:6de91b0d15d03891902b8395:line:26.0,1,parent
doc:6de91b0d15d03891902b8395:line:31.0:change,doc:6de91b0d15d03891902b8395:line:31.0,0,direct
doc:6de91b0d15d03891902b8395:line:31.0:change,doc:6de91b0d15d03891902b8395:line:26.0,1,parent
doc:6de91b0d15d03891902b8395:line:32.0:change,doc:6de91b0d15d03891902b8395:line:32.0,0,direct
doc:6de91b0d15d03891902b8395:line:32.0:change,doc:6de91b0d15d03891902b8395:line:31.0,1,parent
doc:6de91b0d15d03891902b8395:line:32.0:change,doc:6de91b0d15d03891902b8395:line:26.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:33.0:change,doc:6de91b0d15d03891902b8395:line:33.0,0,direct
doc:6de91b0d15d03891902b8395:line:33.0:change,doc:6de91b0d15d03891902b8395:line:26.0,1,parent
doc:6de91b0d15d03891902b8395:line:34.0:change,doc:6de91b0d15d03891902b8395:line:34.0,0,direct
doc:6de91b0d15d03891902b8395:line:34.0:change,doc:6de91b0d15d03891902b8395:line:26.0,1,parent
doc:6de91b0d15d03891902b8395:line:35.0:change,doc:6de91b0d15d03891902b8395:line:35.0,0,direct
doc:6de91b0d15d03891902b8395:line:36.0:change,doc:6de91b0d15d03891902b8395:line:36.0,0,direct
doc:6de91b0d15d03891902b8395:line:37.0:change,doc:6de91b0d15d03891902b8395:line:37.0,0,direct
doc:6de91b0d15d03891902b8395:line:37.0:change,doc:6de91b0d15d03891902b8395:line:36.0,1,parent
doc:6de91b0d15d03891902b8395:line:38.0:change,doc:6de91b0d15d03891902b8395:line:38.0,0,direct
doc:6de91b0d15d03891902b8395:line:38.0:change,doc:6de91b0d15d03891902b8395:line:36.0,1,parent
doc:6de91b0d15d03891902b8395:line:39.0:change,doc:6de91b0d15d03891902b8395:line:39.0,0,direct
doc:6de91b0d15d03891902b8395:line:39.0:change,doc:6de91b0d15d03891902b8395:line:38.0,1,parent
doc:6de91b0d15d03891902b8395:line:39.0:change,doc:6de91b0d15d03891902b8395:line:36.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:40.0:change,doc:6de91b0d15d03891902b8395:line:40.0,0,direct
doc:6de91b0d15d03891902b8395:line:40.0:change,doc:6de91b0d15d03891902b8395:line:38.0,1,parent
doc:6de91b0d15d03891902b8395:line:40.0:change,doc:6de91b0d15d03891902b8395:line:36.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:41.0:change,doc:6de91b0d15d03891902b8395:line:41.0,0,direct
doc:6de91b0d15d03891902b8395:line:41.0:change,doc:6de91b0d15d03891902b8395:line:40.0,1,parent
doc:6de91b0d15d03891902b8395:line:41.0:change,doc:6de91b0d15d03891902b8395:line:38.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:41.0:change,doc:6de91b0d15d03891902b8395:line:36.0,3,ancestor
doc:6de91b0d15d03891902b8395:line:42.0:change,doc:6de91b0d15d03891902b8395:line:42.0,0,direct
doc:6de91b0d15d03891902b8395:line:42.0:change,doc:6de91b0d15d03891902b8395:line:40.0,1,parent
doc:6de91b0d15d03891902b8395:line:42.0:change,doc:6de91b0d15d03891902b8395:line:38.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:42.0:change,doc:6de91b0d15d03891902b8395:line:36.0,3,ancestor
doc:6de91b0d15d03891902b8395:line:43.0:change,doc:6de91b0d15d03891902b8395:line:43.0,0,direct
doc:6de91b0d15d03891902b8395:line:43.0:change,doc:6de91b0d15d03891902b8395:line:38.0,1,parent
doc:6de91b0d15d03891902b8395:line:43.0:change,doc:6de91b0d15d03891902b8395:line:36.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:44.0:change,doc:6de91b0d15d03891902b8395:line:44.0,0,direct
doc:6de91b0d15d03891902b8395:line:44.0:change,doc:6de91b0d15d03891902b8395:line:38.0,1,parent
doc:6de91b0d15d03891902b8395:line:44.0:change,doc:6de91b0d15d03891902b8395:line:36.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:45.0:change,doc:6de91b0d15d03891902b8395:line:45.0,0,direct
doc:6de91b0d15d03891902b8395:line:45.0:change,doc:6de91b0d15d03891902b8395:line:38.0,1,parent
doc:6de91b0d15d03891902b8395:line:45.0:change,doc:6de91b0d15d03891902b8395:line:36.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:46.0:change,doc:6de91b0d15d03891902b8395:line:46.0,0,direct
doc:6de91b0d15d03891902b8395:line:46.0:change,doc:6de91b0d15d03891902b8395:line:38.0,1,parent
doc:6de91b0d15d03891902b8395:line:46.0:change,doc:6de91b0d15d03891902b8395:line:36.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:47.0:change,doc:6de91b0d15d03891902b8395:line:47.0,0,direct
doc:6de91b0d15d03891902b8395:line:47.0:change,doc:6de91b0d15d03891902b8395:line:36.0,1,parent
doc:6de91b0d15d03891902b8395:line:48.0:change,doc:6de91b0d15d03891902b8395:line:48.0,0,direct
doc:6de91b0d15d03891902b8395:line:48.0:change,doc:6de91b0d15d03891902b8395:line:36.0,1,parent
doc:6de91b0d15d03891902b8395:line:50.0:change,doc:6de91b0d15d03891902b8395:line:50.0,0,direct
doc:6de91b0d15d03891902b8395:line:50.0:change,doc:6de91b0d15d03891902b8395:line:36.0,1,parent
doc:6de91b0d15d03891902b8395:line:51.0:change,doc:6de91b0d15d03891902b8395:line:51.0,0,direct
doc:6de91b0d15d03891902b8395:line:51.0:change,doc:6de91b0d15d03891902b8395:line:36.0,1,parent
doc:6de91b0d15d03891902b8395:line:52.0:change,doc:6de91b0d15d03891902b8395:line:52.0,0,direct
doc:6de91b0d15d03891902b8395:line:52.0:change,doc:6de91b0d15d03891902b8395:line:51.0,1,parent
doc:6de91b0d15d03891902b8395:line:52.0:change,doc:6de91b0d15d03891902b8395:line:36.0,2,ancestor
doc:6de91b0d15d03891902b8395:line:53.0:change,doc:6de91b0d15d03891902b8395:line:53.0,0,direct
doc:6de91b0d15d03891902b8395:line:53.0:change,doc:6de91b0d15d03891902b8395:line:52.0,1,parent
doc:6de91b0d15d03891902b8395:line:53.0:change,doc:6de91b0d15d03891902b8395:line:51.0,2,ancestor
