rawPartId,rawPartNo,rawPartName,rawPartType,sourceRole,sourceDocumentId,sourceLineId,sourceColumnKey
doc:ecb2f645ebd38373fb24f86e:line:1:rawpart:base,MGJ67449001,"Plate,Base",PD Part,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:1,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:2:rawpart:base,ACM76198407,"Controller Assembly,Tact Dial",Structure Assy,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:2,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:2:rawpart:new,ACM76198411,"Controller Assembly,Tact Dial",Structure Assy,new,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:2,new_part_no
doc:ecb2f645ebd38373fb24f86e:line:2:rawpart:effective,ACM76198407,"Controller Assembly,Tact Dial",Structure Assy,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:2,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:3:rawpart:base,ACM76203208,"Controller Assembly,Sub",Structure Assy,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:3,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:3:rawpart:new,ACM76203216,"Controller Assembly,Sub",Structure Assy,new,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:3,new_part_no
doc:ecb2f645ebd38373fb24f86e:line:3:rawpart:effective,ACM76203208,"Controller Assembly,Sub",Structure Assy,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:3,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:4:rawpart:base,MCR68450803,"Decor,Control Panel",PD Part,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:4,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:4:rawpart:new,MCR68450804,"Decor,Control Panel",PD Part,new,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:4,new_part_no
doc:ecb2f645ebd38373fb24f86e:line:4:rawpart:effective,MCR68450803,"Decor,Control Panel",PD Part,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:4,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:5:rawpart:base,RAA33959178,"Sheet,Steel(STS)",PD Part,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:5,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:5:rawpart:new,RAA33959177,"Sheet,Steel(STS)",PD Part,new,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:5,new_part_no
doc:ecb2f645ebd38373fb24f86e:line:5:rawpart:effective,RAA33959178,"Sheet,Steel(STS)",PD Part,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:5,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:6:rawpart:base,MKC67486206,"Window,Glass",etc.,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:6,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:6:rawpart:effective,MKC67486206,"Window,Glass",etc.,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:6,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:7:rawpart:base,AKF75721706,Print Assembly,Printing Material,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:7,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:7:rawpart:effective,AKF75721706,Print Assembly,Printing Material,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:7,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:8:rawpart:base,MEZ68891911,"Label,Barcode",Printing Material,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:8,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:8:rawpart:new,MEZ68891931,"Label,Barcode",Printing Material,new,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:8,new_part_no
doc:ecb2f645ebd38373fb24f86e:line:8:rawpart:effective,MEZ68891911,"Label,Barcode",Printing Material,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:8,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:9:rawpart:base,AEZ75996301,Knob Assembly,Structure Assy,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:9,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:9:rawpart:new,AEZ75996302,Knob Assembly,Structure Assy,new,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:9,new_part_no
doc:ecb2f645ebd38373fb24f86e:line:9:rawpart:effective,AEZ75996301,Knob Assembly,Structure Assy,effective,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:9,effective_part_no
doc:ecb2f645ebd38373fb24f86e:line:10:rawpart:base,ADC30054004,"Door Assembly,Full",Structure Assy,base,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:10,base_part_no
doc:ecb2f645ebd38373fb24f86e:line:10:rawpart:new,ADC30054005,"Door Assembly,Full",Structure Assy,new,doc:ecb2f645ebd38373fb24f86e,doc:ecb2f645ebd38373fb24f86e:line:10,new_part_no
