fromPartId,toPartId,caseId,documentId,lineId,classification,changingPoint,changingReason
part:7902789fed81511c9c37,part:b575fb4d329267b99a5d,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:37.0,Change,부품 변경,3점식 Meat Probe로 변경
part:4ba28de8d636d905f5ab,part:f1ec408e97da14c40eeb,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:45.0,Change,부품 변경,BLDC 기능 추가
part:c2ce11dc1a36a9f5c738,part:e2373c3fe0b317b88784,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:99.0,Change,부품 변경,북미향 힌지 적용
part:7018e3b2729d4d4a74e1,part:70fb085674d1892a7eb5,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:100.0,Change,부품 변경,북미향 힌지 적용
part:ab4eb4861202e0e32dfc,part:558b8a5f567f79573a0d,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:102.0,Change,부품 변경,북미향 힌지 적용
part:885def0a8c35d0e91f06,part:f713b9676c84286d40d6,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:103.0,Change,부품 변경,북미향 힌지 적용
part:8ec73e82828ca2c4411f,part:6bdd951d809e6144786b,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:107.0,Change,부품 변경,북미향 힌지 적용
part:f287e6dcd93750ae8785,part:7b21980591f1d5857403,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:108.0,Change,부품 변경,북미향 힌지 적용
part:3fdfe03b2e4275c7ad55,part:46724347b0da1406ba63,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:109.0,Change,부품 변경,북미향 힌지 적용
part:7018e3b2729d4d4a74e1,part:70fb085674d1892a7eb5,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:110.0,Change,부품 변경,북미향 힌지 적용
part:ab4eb4861202e0e32dfc,part:558b8a5f567f79573a0d,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:112.0,Change,부품 변경,북미향 힌지 적용
part:885def0a8c35d0e91f06,part:f713b9676c84286d40d6,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:113.0,Change,부품 변경,북미향 힌지 적용
part:8ec73e82828ca2c4411f,part:6bdd951d809e6144786b,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:117.0,Change,부품 변경,북미향 힌지 적용
part:004ed41210fe9497f390,part:aec22280c2957c204bfc,case:e0bda931d1ac6b5ae9d4f711,doc:02ab38ce51f03cb8a038327b,doc:02ab38ce51f03cb8a038327b:line:121.0,Change,부품 변경,BLDC 기능 추가
