caseId,modelName,baseModel,newModel,event,status,summary,searchText,createdAt
case:a5430b770f5e712ea27e524b,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,250213 사우디 개발부품Master List.xlsm / 변경부품 list (BK STS),250213 사우디 개발부품Master List.xlsm | 변경부품 list (BK STS) | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:18:59.057083+00:00
case:93c52ec638ea777b418f4ce0,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,250213 사우디 개발부품Master List.xlsm / 변경부품 list (BK Glass),250213 사우디 개발부품Master List.xlsm | 변경부품 list (BK Glass) | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:18:59.062084+00:00
case:283ac643f1483c68a77ca693,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,250424 모리셔스향 파급 개발 개발부품마스터.xlsx / WSED7667M(Best),250424 모리셔스향 파급 개발 개발부품마스터.xlsx | WSED7667M(Best) | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:01.275505+00:00
case:98b73079a27a93b480da4cf1,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,250424 모리셔스향 파급 개발 개발부품마스터.xlsx / WS7D7632WB(Good),250424 모리셔스향 파급 개발 개발부품마스터.xlsx | WS7D7632WB(Good) | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:01.279504+00:00
case:a86cd48d8b2b36a30ad99e1d,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,250424 모리셔스향 파급 개발 개발부품마스터.xlsx / WSED7612S(Good),250424 모리셔스향 파급 개발 개발부품마스터.xlsx | WSED7612S(Good) | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:01.283505+00:00
case:68ceb82638bf12a5e57aad27,BO24 북미 부품 개발 완료 Activity 240409,,,DV,imported,BO24 북미 부품 개발 완료 Activity 240409.xlsx / 초품리스트_240409,BO24 북미 부품 개발 완료 Activity 240409.xlsx | 초품리스트_240409 | DV,2026-05-28T03:19:02.286509+00:00
case:3691a3d4af18a2d60aaea8da,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Best1,BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Best1 | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:17.728773+00:00
case:e78f8d5af994341f7768b137,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Better1,BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Better1 | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:17.734799+00:00
case:9661b0b44fb00c31ba5e1f59,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Best,BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Best | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:17.739799+00:00
case:4b2b55af9e7d90b36b738101,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Better,BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Better | 모델명(등급) | CP  PP  DV  PV  PQ,2026-05-28T03:19:17.745798+00:00
case:c3069dc1c2b28f04870752d4,모델명(등급),모델명(등급),,CP  PP  DV  PV  PQ,imported,"BO24 북유럽 CE 개발부품 마스터 250113.xlsm / 변경부품 list_Good1, BK","BO24 북유럽 CE 개발부품 마스터 250113.xlsm | 변경부품 list_Good1, BK | 모델명(등급) | CP  PP  DV  PV  PQ",2026-05-28T03:19:17.752812+00:00
