sourceColumnId,documentId,documentFormat,sheetName,rawColumnName,columnIndex,canonicalFieldKey,confidence,method,parserVersion
doc:ecb2f645ebd38373fb24f86e:col:0,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Unnamed: 0,0,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:1,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),No.,1,row_no,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:2,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),"부품
개발
등록",2,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:3,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),"BOM
Level",3,bom_level,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:4,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Part Type,4,part_type,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:5,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),"금형
개발",5,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:6,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),"사내
제작 or
직거래",6,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:7,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Base P/No,7,base_part_no,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:8,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),New P/No,8,new_part_no,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:9,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Class Desc.(Part Name),9,part_name,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:10,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Fig.,10,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:11,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),변경점,11,changing_point,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:12,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),구분,12,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:13,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),변경사유,13,changing_reason,1.0,auto_header_match,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:14,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Quanty,14,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:15,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),설계자,15,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:16,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),부품개발,16,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:17,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),금형처,17,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:18,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),양산처,18,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:19,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Design,19,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:20,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Process,20,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:21,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),"Why don't you 
excute DRBFM?",21,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:22,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),심의도,22,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:23,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),도면합의,23,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:24,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),확정도,24,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:25,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),"도면결재/
배포(GPDM)",25,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:26,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Unnamed: 26,26,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:27,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Unnamed: 27,27,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:28,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Unnamed: 28,28,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:29,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),Unnamed: 29,29,,,,bom_graph_etl.v0.1
doc:ecb2f645ebd38373fb24f86e:col:30,doc:ecb2f645ebd38373fb24f86e,auto_bom_excel,변경부품 list (BK STS),양산구매,30,,,,bom_graph_etl.v0.1
