documentId,fileName,filePath,sheetName,formatType,importedAt,parserVersion,rawMetadata
doc:ecb2f645ebd38373fb24f86e,250213 사우디 개발부품Master List.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\250213 사우디 개발부품Master List.xlsm,변경부품 list (BK STS),auto_bom_excel,2026-05-28T03:18:59.057083+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:c700f7190c621adfaa01f096,250213 사우디 개발부품Master List.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\250213 사우디 개발부품Master List.xlsm,변경부품 list (BK Glass),auto_bom_excel,2026-05-28T03:18:59.062084+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:59ba2da034209df95cae6fbc,250424 모리셔스향 파급 개발 개발부품마스터.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\250424 모리셔스향 파급 개발 개발부품마스터.xlsx,WSED7667M(Best),auto_bom_excel,2026-05-28T03:19:01.275505+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:b40956ddcb7f75f7ca1e9e54,250424 모리셔스향 파급 개발 개발부품마스터.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\250424 모리셔스향 파급 개발 개발부품마스터.xlsx,WS7D7632WB(Good),auto_bom_excel,2026-05-28T03:19:01.279504+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:1fe3b672022b306e1e8ed5ec,250424 모리셔스향 파급 개발 개발부품마스터.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\250424 모리셔스향 파급 개발 개발부품마스터.xlsx,WSED7612S(Good),auto_bom_excel,2026-05-28T03:19:01.283505+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:48acebed995976e8ee238f9d,BO24 북미 부품 개발 완료 Activity 240409.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북미 부품 개발 완료 Activity 240409.xlsx,초품리스트_240409,auto_bom_excel,2026-05-28T03:19:02.286509+00:00,bom_graph_etl.v0.1,"{""baseModel"": """", ""event"": ""DV"", ""newModel"": """"}"
doc:a9bec60c44bb1a91a8bdbff2,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,변경부품 list_Best1,auto_bom_excel,2026-05-28T03:19:17.728773+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:63edd46cc9a0192cfd1ab067,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,변경부품 list_Better1,auto_bom_excel,2026-05-28T03:19:17.734799+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:f44ec75a1ebefd998d578492,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,변경부품 list_Best,auto_bom_excel,2026-05-28T03:19:17.739799+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
doc:7cb8efcf21c93603ce965e56,BO24 북유럽 CE 개발부품 마스터 250113.xlsm,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\BO24 북유럽 CE 개발부품 마스터 250113.xlsm,변경부품 list_Better,auto_bom_excel,2026-05-28T03:19:17.745798+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""모델명(등급)"", ""event"": ""CP  PP  DV  PV  PQ"", ""newModel"": """"}"
